Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw
306964,610420598510063,December,NY,3470.3996,46.15,45,44,1,8.0,42,2,1,0,0,"Native, Born In US",2,Public finance activities (92113),840,Government - Federal,No,No,Employed-At Work,1.0,True,1.0255555555555556,0.025234471178541405
307185,30610005457794,December,NY,2884.4925,1276.92,40,43,1,,28,1,1,0,0,"Native, Born In US",2,Insurance carriers and related activities (524),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,31.923000000000002,3.463326753127704
307855,810177000636500,December,NC,2797.24,1346.15,45,44,1,,54,2,4,0,0,"Native, Born In US",5,****Department stores and discount stores (s45211),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,29.914444444444445,3.39834145553281
312187,774120086909890,December,TN,3413.3264,1730.76,40,44,1,,36,1,1,2,8,"Native, Born In US",6,Home health care services (6216),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,43.269,3.767436443269483
312542,411661810083,December,TX,3852.0659,1153.0,45,40,1,1.0,45,2,1,1,4,"Foreign Born, Not a US Citizen",7,Air transportation (481),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,25.622222222222224,3.2434600304987393
312570,18354680053000,December,TX,3243.7695,1884.4,40,44,1,,25,1,7,0,0,"Native, Born In US",7,Support activities for mining (213),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,47.11,3.85248529271195
312597,40810720674437,December,TX,3418.3108,615.0,40,43,1,1.0,33,1,7,0,0,"Foreign Born, US Cit By Naturalization",7,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,15.375,2.7327428136925818
314274,30190001746010,December,UT,1719.9855,920.0,40,43,1,,30,1,1,0,0,"Native, Born In US",8,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,23.0,3.1354942159291497
314887,5091247501681,December,VA,3038.2476,1923.07,40,40,1,,39,2,1,1,3,"Native, Born In US",5,"Architectural, engineering, and related services (5413)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,48.07675,3.872798692268385
315030,406902645997521,December,VA,2997.1989,750.0,40,40,1,,32,2,7,0,0,"Native, Born In US",5,"Museums, art galleries, historical sites, and similar institutions (712)",840,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,18.75,2.9311937524164198
315639,663590859300203,December,WA,2589.21,2653.84,40,43,1,,47,1,5,0,0,"Native, Born In US",9,"Non-depository credit and related activities (5222, 5223)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,66.346,4.19488347260071
316610,506902605991185,December,WI,403.3448,1538.46,48,43,1,,55,2,1,0,0,"Native, Born In US",3,Nursing care facilities (6231),840,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,32.05125,3.4673361841662005
